"","variable","relative_importance","scaled_importance","percentage"
"1","X12","73534.9531","1.000000000","0.384264365"
"2","X17","37234.7578","0.506354546","0.194574008"
"3","X15","24204.9453","0.329162450","0.126485400"
"4","X16"," 9832.8379","0.133716518","0.051382493"
"5","X18"," 9638.7939","0.131077719","0.050368497"
"6","X14"," 8435.7705","0.114717833","0.044081975"
"7","X13"," 4774.0498","0.064922185","0.024947282"
"8","X4"," 3305.2825","0.044948454","0.017272089"
"9","X10"," 3118.1807","0.042404061","0.016294370"
"10","X6"," 2958.8096","0.040236778","0.015461560"
"11","X5"," 2140.2017","0.029104549","0.011183841"
"12","X3"," 1999.5970","0.027192471","0.010449097"
"13","X7"," 1861.2902","0.025311639","0.009726361"
"14","X21"," 1717.7354","0.023359440","0.008976201"
"15","X19"," 1644.2482","0.022360090","0.008592186"
"16","X20"," 1493.8303","0.020314561","0.007806162"
"17","X8"," 1481.6357","0.020148728","0.007742438"
"18","X9"," 1435.1340","0.019516352","0.007499439"
"19","X11","  553.4747","0.007526688","0.002892238"
